Region;District;Population;Area;Density of population;Latitude;Longitude
Śródmieście;Stare Miasto;31359;5568;5632;50.061389;19.937222
Śródmieście;Grzegórzki;29474;5845;5042;50.056611;19.953278
Śródmieście;Prądnik Czerwony;46627;6438;7243;50.083231;19.968844
Krowodrza;Prądnik Biały;70647;23419;3017;50.099239;19.906303
Krowodrza;Krowodrza;30223;5619;5379;50.066667;19.916667
Krowodrza;Bronowice;23678;9560;2477;50.083333;19.866667
Krowodrza;Zwierzyniec;20392;28731;710;50.05825;19.864922
Podgórze;Dębnik;61637;46189;1334;50.033333;19.883333
Podgórze;Łagiewniki-Borek Fałęcki;15259;5415;2818;50.016472;19.921083
Podgórze;Swoszowice;27493;25604;1074;49.986378;19.956869
Podgórze;Podgórze Duchackie;53747;9540;5634;50.012278;19.964069
Podgórze;Bieżanów-Prokocim;62830;18474;3401;50.016328;20.031161
Podgórze;Podgórze;36885;25667;1437;50.041667;19.983333
Nowa Huta;Czyżyny;29635;12257;2418;50.065723;20.00879
Nowa Huta;Mistrzejowice;52011;5590;9304;50.099575;20.005478
Nowa Huta;Bieńczyce;41112;3699;11114;50.083333;20.016667
Nowa Huta;Wzgórza Krzesławickie;20205;23815;848;50.101944;20.080497
Nowa Huta;Nowa Huta;51234;65410;783;50.072222;20.0375